,CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
0,12346.0,326,1,77183.6,1,1,5,115,7,🙂 Potential
1,12347.0,2,7,4310.0,5,5,5,555,15,🎖️ Champions
2,12348.0,75,4,1797.24,2,4,4,244,10,💎 Loyal
3,12349.0,19,1,1757.55,4,1,4,414,9,💎 Loyal
4,12350.0,310,1,334.4,1,1,2,112,4,⚠️ At Risk
5,12352.0,36,8,2506.04,3,5,5,355,13,🎖️ Champions
6,12353.0,204,1,89.0,1,1,1,111,3,⚠️ At Risk
7,12354.0,232,1,1079.4,1,1,4,114,6,🙂 Potential
8,12355.0,214,1,459.4,1,1,2,112,4,⚠️ At Risk
9,12356.0,23,3,2811.43,4,3,5,435,12,🎖️ Champions
10,12357.0,33,1,6207.67,4,1,5,415,10,💎 Loyal
11,12358.0,2,2,1168.06,5,2,4,524,11,💎 Loyal
12,12359.0,58,4,6372.58,3,4,5,345,12,🎖️ Champions
13,12360.0,52,3,2662.06,3,3,5,335,11,💎 Loyal
14,12361.0,287,1,189.9,1,1,1,111,3,⚠️ At Risk
15,12362.0,3,10,5226.23,5,5,5,555,15,🎖️ Champions
16,12363.0,110,2,552.0,2,2,3,223,7,🙂 Potential
17,12364.0,8,4,1313.1,5,4,4,544,13,🎖️ Champions
18,12365.0,291,2,641.38,1,2,3,123,6,🙂 Potential
19,12367.0,4,1,168.9,5,1,1,511,7,🙂 Potential
20,12370.0,51,4,3545.69,3,4,5,345,12,🎖️ Champions
21,12371.0,45,2,1887.96,3,2,4,324,9,💎 Loyal
22,12372.0,72,3,1298.04,3,3,4,334,10,💎 Loyal
23,12373.0,311,1,364.6,1,1,2,112,4,⚠️ At Risk
24,12374.0,25,1,742.9300000000001,4,1,3,413,8,🙂 Potential
25,12375.0,11,2,457.5,5,2,2,522,9,💎 Loyal
26,12377.0,315,2,1628.12,1,2,4,124,7,🙂 Potential
27,12378.0,130,1,4008.62,2,1,5,215,8,🙂 Potential
28,12379.0,82,2,852.24,2,2,3,223,7,🙂 Potential
29,12380.0,22,4,2724.81,4,4,5,445,13,🎖️ Champions
30,12381.0,5,5,1845.31,5,4,4,544,13,🎖️ Champions
31,12383.0,185,5,1850.56,1,4,4,144,9,💎 Loyal
32,12384.0,29,2,585.27,4,2,3,423,9,💎 Loyal
33,12386.0,338,2,401.9,1,2,2,122,5,⚠️ At Risk
34,12388.0,16,6,2780.66,4,4,5,445,13,🎖️ Champions
35,12390.0,80,1,549.84,2,1,3,213,6,🙂 Potential
36,12391.0,22,1,460.89,4,1,2,412,7,🙂 Potential
37,12393.0,72,4,1582.6000000000001,3,4,4,344,11,💎 Loyal
38,12394.0,64,2,1272.48,3,2,4,324,9,💎 Loyal
39,12395.0,19,12,3018.63,4,5,5,455,14,🎖️ Champions
40,12397.0,36,2,2409.9,3,2,5,325,10,💎 Loyal
41,12398.0,46,1,1635.6599999999999,3,1,4,314,8,🙂 Potential
42,12399.0,119,4,1108.65,2,4,4,244,10,💎 Loyal
43,12401.0,303,1,84.3,1,1,1,111,3,⚠️ At Risk
44,12402.0,323,1,225.6,1,1,1,111,3,⚠️ At Risk
45,12403.0,50,1,427.7,3,1,2,312,6,🙂 Potential
46,12405.0,149,1,1710.39,2,1,4,214,7,🙂 Potential
47,12406.0,22,2,3415.3,4,2,5,425,11,💎 Loyal
